Date,Description,Amount,Transaction Type,Category,Account Number
01/01/2019,Amazon,13.09,debit,Shopping,95028-6611199
01/03/2019,Mortgage Payment,1100,debit,Mortgage & Rent,95028-5949457
01/03/2019,Amazon,42.1,debit,Shopping,95028-6611199
01/03/2019,Mortgage Payment,1100,debit,Mortgage & Rent,95028-5949457
01/03/2019,Amazon,42.1,debit,Shopping,95028-6611199
01/04/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
01/05/2019,American Tavern,23.49,debit,Restaurants,95028-6611199
01/08/2019,Gas Company,45,debit,Utilities,95028-5949457
01/09/2019,Credit Card Payment,491.45,credit,Credit Card Payment,95028-6611199
01/09/2019,Credit Card Payment,491.45,debit,Credit Card Payment,95028-5949457
01/09/2019,Spotify,10.69,debit,Music,95028-6611199
01/09/2019,Credit Card Payment,491.45,credit,Credit Card Payment,95028-6611199
01/09/2019,Credit Card Payment,491.45,debit,Credit Card Payment,95028-5949457
01/09/2019,Spotify,10.69,debit,Music,95028-6611199
01/09/2019,Credit Card Payment,491.45,credit,Credit Card Payment,95028-6611199
01/09/2019,Credit Card Payment,491.45,debit,Credit Card Payment,95028-5949457
01/09/2019,Spotify,10.69,debit,Music,95028-6611199
01/10/2019,Grocery Store,58.79,debit,Groceries,95028-1307804
01/10/2019,Barbershop,30,debit,Haircut,95028-1307804
01/10/2019,Phone Company,65,debit,Mobile Phone,95028-5949457
01/10/2019,Grocery Store,58.79,debit,Groceries,95028-1307804
01/10/2019,Barbershop,30,debit,Haircut,95028-1307804
01/10/2019,Phone Company,65,debit,Mobile Phone,95028-5949457
01/10/2019,Grocery Store,58.79,debit,Groceries,95028-1307804
01/10/2019,Barbershop,30,debit,Haircut,95028-1307804
01/10/2019,Phone Company,65,debit,Mobile Phone,95028-5949457
01/14/2019,Shell,28.92,debit,Gas & Fuel,95028-1307804
01/15/2019,Grocery Store,6.06,debit,Groceries,95028-1307804
01/16/2019,City Water Charges,35,debit,Utilities,95028-5949457
01/16/2019,Power Company,60,debit,Utilities,95028-5949457
01/16/2019,City Water Charges,35,debit,Utilities,95028-5949457
01/16/2019,Power Company,60,debit,Utilities,95028-5949457
01/18/2019,State Farm,75,debit,Auto Insurance,95028-5949457
01/18/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
01/18/2019,State Farm,75,debit,Auto Insurance,95028-5949457
01/18/2019,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
01/21/2019,Credit Card Payment,277.99,credit,Credit Card Payment,95028-1307804
01/22/2019,Credit Card Payment,277.99,debit,Credit Card Payment,95028-5949457
01/24/2019,Grocery Store,21.06,debit,Groceries,95028-1307804
01/24/2019,Amazon,11.7,debit,Shopping,95028-6611199
01/24/2019,Amazon,4.21,debit,Shopping,95028-6611199
01/24/2019,Grocery Store,21.06,debit,Groceries,95028-1307804
01/24/2019,Amazon,11.7,debit,Shopping,95028-6611199
01/24/2019,Amazon,4.21,debit,Shopping,95028-6611199
01/24/2019,Grocery Store,21.06,debit,Groceries,95028-1307804
01/24/2019,Amazon,11.7,debit,Shopping,95028-6611199
01/24/2019,Amazon,4.21,debit,Shopping,95028-6611199
01/25/2019,Internet Service Provider,75,debit,Internet,95028-5949457
01/31/2019,Shell,31.32,debit,Gas & Fuel,95028-1307804
