Date,Description,Amount,Transaction Type,Category,Account Number
06/01/2018,BP,38.63,debit,Gas & Fuel,95028-6611199
06/01/2018,Grocery Store,6.11,debit,Groceries,95028-6611199
06/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
06/01/2018,BP,38.63,debit,Gas & Fuel,95028-6611199
06/01/2018,Grocery Store,6.11,debit,Groceries,95028-6611199
06/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
06/01/2018,BP,38.63,debit,Gas & Fuel,95028-6611199
06/01/2018,Grocery Store,6.11,debit,Groceries,95028-6611199
06/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
06/02/2018,Credit Card Payment,235.18,credit,Credit Card Payment,95028-1307804
06/03/2018,Italian Restaurant,65.81,debit,Restaurants,95028-6611199
06/04/2018,Credit Card Payment,235.18,debit,Credit Card Payment,95028-5949457
06/04/2018,Grocery Store,24.12,debit,Groceries,95028-6611199
06/04/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
06/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
06/04/2018,Credit Card Payment,235.18,debit,Credit Card Payment,95028-5949457
06/04/2018,Grocery Store,24.12,debit,Groceries,95028-6611199
06/04/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
06/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
06/04/2018,Credit Card Payment,235.18,debit,Credit Card Payment,95028-5949457
06/04/2018,Grocery Store,24.12,debit,Groceries,95028-6611199
06/04/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
06/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
06/04/2018,Credit Card Payment,235.18,debit,Credit Card Payment,95028-5949457
06/04/2018,Grocery Store,24.12,debit,Groceries,95028-6611199
06/04/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
06/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
06/06/2018,Starbucks,4,debit,Coffee Shops,95028-6611199
06/08/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
06/08/2018,Gas Company,30,debit,Utilities,95028-5949457
06/08/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
06/08/2018,Gas Company,30,debit,Utilities,95028-5949457
