Date,Description,Amount,Transaction Type,Category,Account Number
03/01/2018,Grocery Store,32.07,debit,Groceries,95028-1307804
03/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
03/01/2018,Grocery Store,32.07,debit,Groceries,95028-1307804
03/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
03/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
03/02/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
03/02/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
03/02/2018,Biweekly Paycheck,2000,credit,Paycheck,95028-5949457
03/03/2018,Grocery Store,23.74,debit,Groceries,95028-1307804
03/04/2018,Grocery Store,10.69,debit,Groceries,95028-6611199
03/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
03/04/2018,BBQ Restaurant,42.24,debit,Restaurants,95028-6611199
03/04/2018,Grocery Store,10.69,debit,Groceries,95028-6611199
03/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
03/04/2018,BBQ Restaurant,42.24,debit,Restaurants,95028-6611199
03/04/2018,Grocery Store,10.69,debit,Groceries,95028-6611199
03/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
03/04/2018,BBQ Restaurant,42.24,debit,Restaurants,95028-6611199
03/05/2018,Starbucks,3,debit,Coffee Shops,95028-6611199
03/05/2018,Credit Card Payment,761.59,credit,Credit Card Payment,95028-1307804
03/05/2018,Credit Card Payment,761.59,debit,Credit Card Payment,95028-5949457
03/05/2018,Starbucks,3,debit,Coffee Shops,95028-6611199
03/05/2018,Credit Card Payment,761.59,credit,Credit Card Payment,95028-1307804
03/05/2018,Credit Card Payment,761.59,debit,Credit Card Payment,95028-5949457
03/05/2018,Starbucks,3,debit,Coffee Shops,95028-6611199
03/05/2018,Credit Card Payment,761.59,credit,Credit Card Payment,95028-1307804
03/05/2018,Credit Card Payment,761.59,debit,Credit Card Payment,95028-5949457
03/07/2018,Starbucks,3.5,debit,Coffee Shops,95028-6611199
03/08/2018,BP,34.9,debit,Gas & Fuel,95028-6611199
03/08/2018,Gas Company,52,debit,Utilities,95028-5949457
03/08/2018,BP,34.9,debit,Gas & Fuel,95028-6611199
03/08/2018,Gas Company,52,debit,Utilities,95028-5949457
03/09/2018,Grocery Store,20.72,debit,Groceries,95028-6611199
03/09/2018,Grocery Store,5.09,debit,Groceries,95028-6611199
03/09/2018,Spotify,10.69,debit,Music,95028-6611199
03/09/2018,Grocery Store,20.72,debit,Groceries,95028-6611199
03/09/2018,Grocery Store,5.09,debit,Groceries,95028-6611199
03/09/2018,Spotify,10.69,debit,Music,95028-6611199
03/09/2018,Grocery Store,20.72,debit,Groceries,95028-6611199
