Date,Description,Amount,Transaction Type,Category,Account Number
09/01/2018,Brewing Company,47.4,debit,Alcohol & Bars,95028-6611199
09/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
09/01/2018,Brewing Company,47.4,debit,Alcohol & Bars,95028-6611199
09/01/2018,Amazon,13.13,debit,Shopping,95028-6611199
09/02/2018,Amazon,109.83,debit,Shopping,95028-6611199
09/04/2018,Credit Card Payment,687.29,credit,Credit Card Payment,95028-6611199
09/04/2018,Credit Card Payment,687.29,debit,Credit Card Payment,95028-5949457
09/04/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
09/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
09/04/2018,Credit Card Payment,687.29,credit,Credit Card Payment,95028-6611199
09/04/2018,Credit Card Payment,687.29,debit,Credit Card Payment,95028-5949457
09/04/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
09/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
09/04/2018,Credit Card Payment,687.29,credit,Credit Card Payment,95028-6611199
09/04/2018,Credit Card Payment,687.29,debit,Credit Card Payment,95028-5949457
09/04/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
09/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
09/04/2018,Credit Card Payment,687.29,credit,Credit Card Payment,95028-6611199
09/04/2018,Credit Card Payment,687.29,debit,Credit Card Payment,95028-5949457
09/04/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,95028-5949457
09/04/2018,Netflix,11.76,debit,Movies & DVDs,95028-6611199
09/07/2018,Gas Company,30,debit,Utilities,95028-5949457
09/09/2018,Brewing Company,18,debit,Alcohol & Bars,95028-6611199
09/09/2018,Spotify,10.69,debit,Music,95028-6611199
09/09/2018,Brewing Company,18,debit,Alcohol & Bars,95028-6611199
09/09/2018,Spotify,10.69,debit,Music,95028-6611199
09/11/2018,BP,38.86,debit,Gas & Fuel,95028-6611199
09/11/2018,Grocery Store,7.87,debit,Groceries,95028-6611199
09/11/2018,BP,38.86,debit,Gas & Fuel,95028-6611199
